type, epoch, batch_index, time, train_loss, train_acc, val_loss, val_acc
train, 0, 0, 15.766353845596313, 2.313599069835618, 0.0234375, ,
train, 0, 1, 34.5071918964386, 2.304492831695825, 0.0625, ,
train, 0, 2, 51.931299924850464, 2.3013446466065943, 0.1640625, ,
train, 0, 3, 70.43263220787048, 2.284234470454976, 0.15625, ,
train, 0, 4, 88.48609709739685, 2.295591971371323, 0.1640625, ,
train, 0, 5, 106.52360939979553, 2.281739463098347, 0.2265625, ,
train, 0, 6, 124.41795063018799, 2.2720156623981893, 0.2109375, ,
train, 0, 7, 143.675794839859, 2.2674052654765546, 0.3125, ,
train, 0, 8, 161.69915795326233, 2.2674543869215995, 0.2890625, ,
train, 0, 9, 180.02705883979797, 2.2612577092368156, 0.296875, ,
train, 0, 10, 198.5484755039215, 2.2554902888368815, 0.234375, ,
train, 0, 11, 216.64341950416565, 2.2524764996487647, 0.3359375, ,
train, 0, 12, 234.66134190559387, 2.2526210881769657, 0.3046875, ,
train, 0, 13, 253.18975830078125, 2.240697636967525, 0.34375, ,
train, 0, 14, 271.40698885917664, 2.2349014913197607, 0.3828125, ,
train, 0, 15, 290.02395701408386, 2.2280876971781254, 0.40625, ,
train, 0, 16, 308.1955451965332, 2.224947125883773, 0.3984375, ,
train, 0, 17, 326.53402829170227, 2.225566518260166, 0.390625, ,
train, 0, 18, 345.59569120407104, 2.2194967730902135, 0.34375, ,
train, 0, 19, 364.1621425151825, 2.213310721796006, 0.390625, ,
train, 0, 20, 383.42049527168274, 2.211376592051238, 0.3828125, ,
train, 0, 21, 402.1758577823639, 2.2043847125023603, 0.359375, ,
train, 0, 22, 420.37477707862854, 2.1899053829256445, 0.4140625, ,
train, 0, 23, 440.0332007408142, 2.192548892227933, 0.4296875, ,
train, 0, 24, 461.15366649627686, 2.184638989623636, 0.546875, ,
train, 0, 25, 480.98648405075073, 2.1714687570929527, 0.6015625, ,
train, 0, 26, 501.9173493385315, 2.1790648428723216, 0.5078125, ,
train, 0, 27, 521.7914772033691, 2.1605085721239448, 0.5703125, ,
train, 0, 28, 543.0682950019836, 2.1625008520204574, 0.546875, ,
train, 0, 29, 561.668594121933, 2.175438112113625, 0.453125, ,
train, 0, 30, 580.7347433567047, 2.1532798951957375, 0.5703125, ,
